水系番号,水系名,指定年度,河川数_指定区間のみ,河川数_指定区間外のみ,河川数_両区間混在,河川数_合計,幹川流路延長(km),河川延長_指定区間(km),河川延長_指定区間外(km),河川延長_合計(km),流域面積(km2),関係都道府県
1,天塩川,41,148,3,9,160,256,"1,050.50",311.5,"1,362.00","5,590",北海道
2,渚滑川,45,24,0,1,25,84,164.8,24.5,189.3,"1,240",北海道
3,湧別川,44,16,0,1,17,87,189.7,31.5,221.2,"1,480",北海道
4,常呂川,42,54,0,3,57,120,322.9,99.8,422.7,"1,930",北海道
5,網走川,44,23,0,2,25,115,199.8,65.7,265.5,"1,380",北海道
6,留萌川,47,8,4,1,13,44,27.3,44.4,71.7,270,北海道
7,石狩川,40,398,34,36,468,268,"2,713.40","1,003.70","3,717.10","14,330",北海道
8,尻別川,42,39,0,1,40,126,321.7,24.2,345.9,"1,640",北海道
9,後志利別川,43,26,0,4,30,80,144.7,63.8,208.5,720,北海道
10,鵡川,42,19,0,1,20,135,205.1,42.9,248,"1,270",北海道
11,沙流川,43,24,2,2,28,104,215.3,46.3,261.6,"1,350",北海道
12,釧路川,42,35,1,2,38,154,393.8,102.8,496.6,"2,510",北海道
13,十勝川,41,192,3,13,208,156,"2,083.20",289.1,"2,372.30","9,010",北海道
14,岩木川,41,84,4,9,97,102,591.3,114.7,706,"2,540",青森県
15,高瀬川,47,22,0,1,23,64,152.3,40.1,192.4,867,青森県
16,馬淵川,42,30,0,1,31,142,476.3,10,486.3,"2,050",青森県、岩手県
17,北上川,40,280,4,18,302,249,"2,293.80",429.2,"2,723.00","10,150",岩手県、宮城県
18,鳴瀬川,41,54,0,8,62,89,394.7,91.6,486.3,"1,130",宮城県
19,名取川,41,26,0,6,32,55,272.6,29.4,302,939,宮城県
20,阿武隈川,41,175,12,12,199,239,"1,711.20",238.3,"1,949.50","5,400",宮城県、山形県、福島県
21,米代川,41,79,3,5,87,136,857,91.8,948.8,"4,100",青森県、岩手県、秋田県
22,雄物川,41,152,6,15,173,133,"1,238.40",181.8,"1,420.20","4,710",秋田県
23,子吉川,46,40,0,5,45,61,372.4,36.2,408.6,"1,190",秋田県、山形県
24,最上川,40,400,3,28,431,229,"2,160.90",323.9,"2,484.80","7,040",宮城県、山形県
25,赤川,42,39,0,5,44,70,229.3,48,277.3,857,山形県
26,久慈川,41,50,0,3,53,124,478.8,47.8,526.6,"1,490",福島県、茨城県、栃木県
27,那珂川,41,192,0,4,196,150,"1,417.00",99.5,"1,516.50","3,270",茨城県、栃木県
28,利根川,40,757,20,45,822,322,"5,904.70",973.7,"6,878.40","16,842",茨城県、栃木県、群馬県、埼玉県、千葉県、東京都、長野県
29,荒川,40,115,2,9,126,173,"1,051.80",173.6,"1,225.40","2,940",埼玉県、東京都
30,多摩川,41,49,0,3,52,138,402.4,78.6,481,"1,240",東京都、神奈川県、山梨県
31,鶴見川,42,8,0,4,12,43,73.4,22.7,96.1,235,東京都、神奈川県
32,相模川,44,100,1,3,104,109,566.7,26,592.7,"1,680",神奈川県、山梨県
46,富士川,41,545,0,10,555,128,"1,783.40",122.1,"1,905.50","3,990",山梨県、長野県、静岡県
33,荒川,43,56,0,5,61,73,313.2,38.6,351.8,"1,150",山形県、新潟県
34,阿賀野川,41,239,0,7,246,210,"2,199.60",93.1,"2,292.70","7,710",福島県、群馬県、新潟県
35,信濃川,40,875,2,4,881,367,"4,683.00",321.2,"5,004.20","11,900",群馬県、新潟県、長野県
36,関川,44,76,0,2,78,64,496.4,13.8,510.2,"1,140",新潟県、長野県
37,姫川,44,46,0,1,47,60,212.9,11,223.9,722,新潟県、長野県
38,黒部川,45,23,0,2,25,85,114.2,27.7,141.9,682,富山県
39,常願寺川,42,48,0,1,49,56,123.7,21.5,145.2,368,富山県
40,神通川,44,101,1,3,105,120,777.7,48.1,825.8,"2,720",富山県、岐阜県
41,庄川,41,46,0,2,48,115,324.6,33,357.6,"1,180",富山県、岐阜県
42,小矢部川,42,62,0,2,64,68,328.9,37.4,366.3,667,富山県
43,手取川,41,31,0,4,35,72,178.3,37.3,215.6,809,石川県
44,梯川,46,12,0,1,13,42,90.1,11.2,101.3,271,石川県
45,狩野川,42,69,2,5,76,46,333.3,36.8,370.1,852,静岡県
47,安倍川,41,34,0,2,36,51,168.2,31.6,199.8,567,静岡県
48,大井川,42,37,0,2,39,168,277.1,41.6,318.7,"1,280",静岡県
49,菊川,42,20,0,5,25,28,85.2,36.8,122,158,静岡県
50,天竜川,40,320,0,12,332,213,"1,808.10",264.4,"2,072.50","5,090",長野県、静岡県、愛知県
51,豊川,41,23,4,3,30,77,191.4,54.8,246.2,724,愛知県
52,矢作川,41,90,0,4,94,118,719.9,62.5,782.4,"1,830",長野県、岐阜県、愛知県
53,庄内川,44,71,2,3,76,96,461.2,74.5,535.7,"1,010",岐阜県、愛知県
54,木曾川,40,362,13,18,393,229,"2,628.70",375.6,"3,004.30","9,100",長野県、岐阜県、愛知県、三重県、滋賀県
55,鈴鹿川,42,42,1,3,46,38,205.1,41.2,246.3,323,三重県
56,雲出川,41,36,1,3,40,55,228.2,28.5,256.7,550,三重県
57,櫛田川,42,62,1,5,68,87,202,35.6,237.6,436,三重県
58,宮川,50,51,1,3,55,91,282.7,22.6,305.3,920,三重県
59,由良川,41,138,0,2,140,146,734.1,56.4,790.5,"1,880",京都府、兵庫県
60,淀川,40,895,29,40,964,75,"4,222.70",371.1,"4,593.80","8,240",三重県、滋賀県、京都府、大阪府、兵庫県、奈良県
61,大和川,41,174,0,4,178,68,703.4,48.3,751.7,"1,070",大阪府、奈良県
62,円山川,41,96,0,3,99,68,465.8,40.5,506.3,"1,300",兵庫県
63,加古川,42,127,0,3,130,96,734.2,41.4,775.6,"1,730",兵庫県
64,揖保川,41,41,2,4,47,70,224.2,66.7,290.9,810,兵庫県
65,紀の川,40,173,2,6,181,136,720.8,86.7,807.5,"1,750",奈良県、和歌山県
66,新宮川,45,97,0,6,103,183,726.3,23.6,749.9,"2,360",三重県、奈良県、和歌山県
67,九頭竜川,41,135,10,6,151,116,936.8,101.3,"1,038.10","2,930",福井県、岐阜県
68,北川,46,10,0,2,12,30,66.6,16.5,83.1,210,福井県、滋賀県
69,千代川,41,81,2,4,87,52,432.8,45.3,478.1,"1,190",鳥取県
70,天神川,42,28,0,4,32,32,143.6,41.9,185.5,490,鳥取県
71,日野川,42,51,0,5,56,77,310.9,34.7,345.6,870,鳥取県
72,斐伊川,41,236,4,7,247,153,"1,077.70",157.3,"1,235.00","2,540",鳥取県、島根県
73,江の川,41,286,1,8,295,194,"1,475.30",192.7,"1,668.00","3,900",島根県、広島県
74,高津川,42,88,1,3,92,81,480.4,20,500.4,"1,090",島根県
75,吉井川,41,209,0,6,215,133,"1,009.60",48.1,"1,057.70","2,110",岡山県
76,旭川,41,145,1,1,147,142,795.6,30.4,826,"1,810",岡山県
77,高梁川,42,119,1,2,122,111,856.5,35.4,891.9,"2,670",岡山県、広島県
78,芦田川,42,79,0,3,82,86,350.3,61.2,411.5,860,岡山県、広島県
79,太田川,40,65,4,5,74,103,468,129.4,597.4,"1,710",広島県
80,小瀬川,43,14,7,2,23,59,93.9,36.8,130.7,340,広島県、山口県
81,佐波川,41,30,0,2,32,56,138.2,34.5,172.7,460,山口県
82,吉野川,40,343,2,13,358,194,"1,418.00",184.6,"1,602.60","3,750",徳島県、香川県、愛媛県、高知県
83,那賀川,42,69,1,5,75,125,308.4,52.5,360.9,874,徳島県
84,土器川,43,10,0,1,11,33,50.2,18.9,69.1,127,香川県
85,重信川,41,72,0,3,75,36,239.7,26.2,265.9,445,愛媛県
86,肱川,42,464,0,11,475,103,919.1,62.1,981.2,"1,210",愛媛県
87,物部川,42,34,0,1,35,71,200.3,10.5,210.8,508,高知県
88,仁淀川,41,161,2,4,167,124,665,39.1,704.1,"1,560",愛媛県、高知県
89,渡川,40,314,1,4,319,196,"1,230.00",52.9,"1,282.90","2,270",愛媛県、高知県
90,遠賀川,41,66,0,10,76,61,363.5,133.8,497.3,"1,026",福岡県
91,山国川,41,35,1,3,39,56,173.1,36.5,209.6,540,福岡県、大分県
92,筑後川,40,212,7,19,238,143,"1,189.90",239.8,"1,429.70","2,863",福岡県、佐賀県、熊本県、大分県
93,矢部川,45,21,0,3,24,61,195.1,23.2,218.3,647,福岡県
94,松浦川,42,77,0,3,80,47,234.2,63.3,297.5,446,佐賀県
95,六角川,41,75,0,3,78,47,177.9,56.9,234.8,341,佐賀県
96,嘉瀬川,46,45,0,6,51,57,169.9,33.4,203.3,368,佐賀県
97,本明川,43,31,0,4,35,28,114.4,21.9,136.3,249,長崎県
98,菊池川,42,62,0,8,70,71,310.3,85.3,395.6,996,熊本県
99,白川,42,14,0,2,16,74,124.4,21.7,146.1,480,熊本県
100,緑川,41,55,0,4,59,76,372.2,66.7,438.9,"1,100",熊本県
101,球磨川,41,77,2,3,82,115,433.6,118.3,551.9,"1,880",熊本県
102,大分川,42,46,0,3,49,55,224,32.6,256.6,650,大分県
103,大野川,41,134,1,3,138,107,825.6,32.3,857.9,"1,465",熊本県、大分県、宮崎県
104,番匠川,42,48,0,4,52,38,229.8,33.8,263.6,464,大分県
105,五ヶ瀬川,41,99,2,3,104,106,583,28.5,611.5,"1,820",熊本県、大分県、宮崎県
106,小丸川,42,14,0,2,16,75,136.7,12.7,149.4,474,宮崎県
107,大淀川,40,125,0,8,133,107,844.2,86.1,930.3,"2,230",熊本県、宮崎県、鹿児島県
108,川内川,41,117,2,10,129,137,571.6,131.6,703.2,"1,600",宮崎県、鹿児島県
109,肝属川,42,30,1,5,36,34,130.5,51.1,181.6,485,鹿児島県
